tabela,wierszy,zapytan_sql_server_src,wzmianek_slownych_server_src,zapytan_server_scripts,zapytan_migrations,wzmianek_frontend,wzmianek_scripts,pierwszy_plik_sql_server_src
rvn_platform_visibility_policies,7,5,8,3,2,0,1,server/src/services/resultsVnext/roi/roiCaseCommands.ts
rvn_roi_benefit_lines,7,9,13,3,1,0,1,server/src/services/resultsVnext/roi/roiEconomicModelFreeze.ts
rvn_roi_scenarios,7,6,7,3,0,0,1,server/src/services/resultsVnext/roi/roiEconomicModelFreeze.ts
ai_deep_thinking_metrics,6,3,3,0,1,0,0,server/src/routes/ai/deep-thinking.routes.ts
benefits_register,6,4,9,0,2,0,0,server/src/services/benefitsRegisterService.ts
budget_scenarios,6,6,7,2,2,0,0,server/src/routes/economics.routes.ts
finance_statement_pack_archive_command_receipts,6,1,1,1,1,0,0,server/src/services/finance/canonical/statementPackArchiveCommandService.ts
financial_analyses,6,12,20,4,4,7,0,server/src/scripts/t01InterviewRealDbProof.ts
financial_model_baseline_audit,6,1,2,0,0,0,0,server/src/services/financialModelingService.ts
financial_model_events,6,4,6,3,1,1,0,server/src/routes/financial-modeling.routes.ts
financial_model_idempotency,6,1,1,0,0,0,0,server/src/services/financialModelingService.ts
interview_question_templates,6,1,2,0,3,0,0,server/src/controllers/InterviewController.ts
method_session_role_events,6,1,2,0,0,0,0,server/src/method-core/MethodSessionService.ts
method_session_roles,6,2,3,0,0,0,0,server/src/method-core/MethodSessionService.ts
notebooks,6,1,4,0,2,7,1,server/src/routes/my-work/notebook.routes.ts
okr_objectives,6,3,6,1,3,0,0,server/src/routes/resultsStrategic.routes.ts
project_members,6,48,55,7,2,4,2,server/src/database/DatabaseInitializer.ts
report_quality_gates,6,1,2,0,1,0,0,server/src/services/reportQualityGatesService.ts
rvn_roi_cost_lines,6,7,10,3,0,0,1,server/src/services/resultsVnext/roi/roiEconomicModelFreeze.ts
wave6_memory_stewardship_decisions,6,1,1,0,0,0,0,server/src/services/wave6ContextLearningService.ts
wave8_agent_notifications,6,1,1,0,0,0,0,server/src/services/wave8AgentRuntimeService.ts
wave8_agent_runs,6,2,2,0,1,0,0,server/src/scripts/agentMigrationsIdempotencyRealDbProof.ts
ai_industry_templates,5,1,1,0,2,0,0,server/src/services/ai/industryTemplateService.ts
assessment_user_state,5,2,2,0,1,0,0,server/src/controllers/AssessmentController.ts
document_share_links,5,1,2,0,0,0,0,server/src/services/documentStudio/documentShareLinkRegistryDao.ts
generated_workbook_governance_events,5,1,2,0,0,0,0,server/src/routes/workbook.routes.ts
idea_node_comments,5,1,2,0,0,2,0,server/src/routes/my-work.routes.ts
initiative_history,5,8,11,0,3,0,1,server/src/scripts/t01InterviewRealDbProof.ts
initiative_wizard_sessions,5,1,1,0,0,0,0,server/src/services/initiative/initiativeWizardService.ts
method_session_create_idempotency,5,1,1,0,0,0,0,server/src/routes/method-core.routes.ts
method_sessions,5,7,10,2,1,2,2,server/src/method-core/MethodSessionService.ts
my_idea_conversions,5,1,3,0,2,3,0,server/src/routes/my-work.routes.ts
okr_vnext_sets,5,19,25,4,4,3,1,server/src/services/resultsVnext/okr/okrReflectionCommands.ts
partner_commission_rates,5,2,2,0,2,0,0,server/src/services/partnerReferralService.ts
partner_program_ledger,5,2,2,0,4,0,0,server/src/services/partnerProgramLedgerService.ts
reports,5,5,186,3,2,263,29,server/src/routes/my-work.routes.ts
rvn_kpi_scorecards,5,5,8,3,1,1,1,server/src/routes/resultsVnext/kpiScorecard.routes.ts
rvn_roi_baselines,5,5,7,3,0,0,1,server/src/services/resultsVnext/roi/roiCaseCommands.ts
rvn_roi_cases,5,26,30,3,4,2,1,server/src/services/flowTransform/flowTransformLineageService.ts
artifact_conversion_events,4,2,2,0,1,0,0,server/src/services/artifacts/ArtifactConversionService.ts
artifact_conversions,4,1,1,0,1,0,0,server/src/services/artifacts/ArtifactConversionService.ts
assessment_definitions,4,2,6,0,1,1,0,server/src/services/v8/transformationCaseService.ts
budgets,4,13,47,1,6,37,1,server/src/routes/economics.routes.ts
compliance_frameworks,4,1,2,0,3,0,0,server/src/controllers/SuperAdminController.ts
deck_comments,4,1,2,0,0,0,0,server/src/services/deckCommentsService.ts
finance_comments,4,3,5,1,1,0,0,server/src/services/finance/canonical/commentService.ts
finance_review_checklists,4,1,3,0,0,0,0,server/src/services/finance/canonical/reviewChecklistService.ts
finance_stmt_periods,4,15,17,2,6,4,0,server/src/scripts/baselineContextOpeningPeriodRealDbProof.ts
idea_workspace_node_locks,4,1,1,0,1,0,0,server/src/realtime/ideaMapAccess.ts
initiative_templates,4,2,3,0,7,0,0,server/src/services/initiativeTemplateService.ts
method_teresa_previews,4,1,1,0,0,0,0,server/src/method-core/TeresaProposalService.ts
my_work_focus_state,4,4,5,1,0,0,0,server/src/routes/my-work.routes.ts
okr_vnext_checkin_occurrences,4,5,6,3,0,2,1,server/src/services/resultsVnext/okr/okrCheckInScheduler.ts
okr_vnext_cycles,4,5,7,3,0,0,1,server/src/services/resultsVnext/okr/okrObjectiveCommands.ts
partner_program_runtime,4,1,1,0,2,0,0,server/src/services/partnerProgramLedgerService.ts
pmo_audit_trail,4,3,4,0,0,0,0,server/src/controllers/TaskController.ts
security_policies,4,2,3,0,2,0,0,server/src/controllers/superadmin/securityController.ts
subscription_plans,4,17,20,0,11,1,0,server/src/database/PostgresDatabase.ts
v8_agent_proposal_governance_events,4,2,2,0,0,0,0,server/src/scripts/a05ProposalGovernanceRealDbProof.ts
wave9_evidence_registry,4,1,1,0,0,0,0,server/src/services/wave9OutcomeRuntimeService.ts
ai_operator_plans,3,1,1,1,1,0,0,server/src/services/aiOperatorService.ts
ai_system_prompts,3,7,10,0,6,0,0,server/src/controllers/ai/AIPromptsController.ts
audit_findings,3,0,1,0,0,0,0,
audit_programs,3,14,17,0,4,0,2,server/src/routes/testSupport.routes.ts
audits,3,4,60,0,1,51,15,server/src/routes/audit.routes.ts
change_champions,3,2,2,1,0,0,0,server/src/routes/resultsExtended.routes.ts
change_sentiment_snapshots,3,1,1,1,1,0,0,server/src/routes/resultsExtended.routes.ts
circuit_breaker_state,3,1,3,0,2,0,0,server/src/services/circuitBreakerService.ts
conversation_branches,3,2,2,0,1,1,0,server/src/routes/conversations.routes.ts
decision_alternatives,3,1,1,0,0,2,0,server/src/services/decisionCollaborationService.ts
demo_sessions,3,8,11,1,2,1,0,server/src/middleware/demoGuard.middleware.ts
finance_valuation_cases,3,2,2,1,0,0,0,server/src/services/finance/canonical/valuationRegistrationService.ts
generated_workbook_source_bindings,3,2,4,0,1,0,0,server/src/routes/workbook.routes.ts
help_micro_video_dismissals,3,1,1,0,1,0,0,server/src/routes/help.routes.ts
integration_connection_events,3,1,1,0,1,0,0,server/src/services/integrationConnectionLogService.ts
legacy_cutover_signal_intents,3,1,1,0,0,0,0,server/src/services/legacyCutover/legacyCutoverIntentService.ts
legacy_cutover_usage_events,3,2,2,1,1,0,0,server/src/services/partnerReferralService.ts
meeting_decisions,3,1,1,0,1,0,0,server/src/services/meetingService.ts
module_access_grants,3,1,2,0,1,0,0,server/src/routes/module-access.routes.ts
my_idea_folders,3,1,2,0,0,2,0,server/src/routes/my-work.routes.ts
notebook_page_topics,3,1,1,0,1,0,0,server/src/services/notebookTopicService.ts
notebook_topics,3,1,1,0,1,0,0,server/src/services/notebookTopicService.ts
operational_alert_repair_cursors,3,1,1,0,1,0,0,server/src/services/operationalAlertRepairService.ts
report_builder_versions,3,5,8,0,2,0,0,server/src/scripts/t01FinalOutputRealDbProof.ts
rvn_roi_calculation_policy,3,7,9,2,0,0,1,server/src/services/resultsVnext/roi/roiEconomicModelFreeze.ts
rvn_roi_calculation_runs,3,6,9,3,0,0,1,server/src/services/resultsVnext/roi/roiCalculationRunCommands.ts
settings,3,10,136,0,4,311,22,server/src/scripts/g01-environment-qualification.ts
usage_pricing_tiers,3,1,1,0,2,0,0,server/src/routes/billing/billing.routes.ts
user_radar_profiles,3,1,2,0,0,0,0,server/src/services/radar/radarRankingService.ts
wave5_mutation_proposals,3,1,1,0,0,0,0,server/src/services/wave5ArtifactRuntimeService.ts
_v8_flag_backup_20260710,2,0,0,0,1,0,0,
access_requests,2,2,4,0,0,0,0,server/src/controllers/SuperAdminController.ts
ai_operator_profiles,2,1,1,1,1,0,0,server/src/services/aiOperatorService.ts
ai_partial_responses,2,4,5,0,4,0,0,server/src/database/PostgresDatabase.ts
ai_user_memory,2,7,8,0,3,0,0,server/src/controllers/ai/AIMemoryController.ts
artifact_lineage_pending_events,2,1,2,0,1,0,0,server/src/services/lineage/artifactLineageService.ts
audit_program_members,2,4,4,0,0,0,1,server/src/services/audits/permissions.ts
compute_job_outputs,2,2,11,1,0,1,0,server/src/services/finance/canonical/computeJobService.ts
compute_job_runs,2,1,1,1,1,0,0,server/src/services/finance/canonical/computeJobService.ts
compute_jobs,2,2,10,3,3,0,0,server/src/services/finance/canonical/computeJobService.ts
document_comments,2,1,1,0,0,0,0,server/src/services/documentStudio/documentCommentsRegistryDao.ts
email_signatures,2,1,1,0,2,0,1,server/src/routes/settings.routes.ts
finance_lineage_edges,2,13,15,5,3,3,0,server/src/scripts/baselineContextOpeningPeriodRealDbProof.ts
finance_saved_views,2,1,2,1,0,0,0,server/src/services/finance/canonical/savedViewService.ts
finance_valuation_variants,2,4,7,0,0,0,0,server/src/routes/v8/finance-v2/lineage-navigator.routes.ts
financial_budget_versions,2,1,1,0,1,0,0,server/src/services/financeEnterpriseService.ts
initiative_feature_flags,2,0,1,0,0,0,0,
integration_audit_log,2,5,5,0,1,0,0,server/src/routes/syncHub.routes.ts
integration_ownership,2,2,2,0,1,0,0,server/src/routes/adminIntegrations.routes.ts
oauth_links,2,3,3,0,2,0,0,server/src/routes/user/user-profile-completeness.routes.ts
okr_vnext_program_policy_versions,2,3,4,3,0,0,1,server/src/services/resultsVnext/okr/okrProgramCommands.ts
okr_vnext_programs,2,5,8,4,1,0,1,server/src/services/resultsVnext/okr/okrProgramCommands.ts
organization_context_processing_jobs,2,2,2,0,1,1,0,server/src/routes/auditLog.routes.ts
organization_context_storage_events,2,2,2,0,1,0,0,server/src/routes/auditLog.routes.ts
organization_media,2,2,2,0,1,0,0,server/src/routes/presentations.routes.ts
organization_style_profiles,2,1,1,0,1,0,0,server/src/services/organizationStyleProfileService.ts
rollout_changes,2,3,3,0,1,0,0,server/src/routes/rollout.routes.ts
rollout_closures,2,2,2,0,0,0,0,server/src/routes/rollout.routes.ts
rollout_risks,2,2,2,0,0,0,0,server/src/routes/rollout.routes.ts
rvn_kpi_deviation_cases,2,6,10,3,1,1,1,server/src/services/resultsVnext/platform/myworkProjectionConsumer.ts
rvn_roi_post_investment_reviews,2,5,6,3,1,0,1,server/src/services/flowTransform/flowTransformLineageService.ts
system_prompts,2,0,1,1,1,0,0,
transformation_cases,2,30,31,0,3,0,1,server/src/scripts/a12TemplateGovernanceRealDbProof.ts
transformation_plans,2,9,9,0,1,0,0,server/src/scripts/a03PlanningClarificationRealDbProof.ts
transformation_stage_proposals,2,7,8,0,1,0,0,server/src/scripts/a04WorkerClaimContextRealDbProof.ts
usage_counters,2,2,3,0,4,0,0,server/src/services/access/AccessUsageService.ts
user_onboarding_status,2,3,4,0,2,0,0,server/src/routes/onboarding.routes.ts
v8_agent_admin_audit_events,2,2,2,0,0,0,0,server/src/scripts/a06TenantActivationRealDbProof.ts
v8_agent_proposal_scope_reviews,2,4,5,0,0,0,1,server/src/scripts/t01InitiativeGateDecisionRealDbProof.ts
v8_agent_proposal_versions,2,7,8,0,0,0,1,server/src/scripts/a05ProposalGovernanceRealDbProof.ts
v8_agent_run_identities,2,16,17,0,1,0,0,server/src/ai/legacyNoncanonicalExecution.ts
v8_agent_tenant_activation_receipts,2,3,3,0,0,0,0,server/src/scripts/a06TenantActivationRealDbProof.ts
v8_finance_document_ingestions,2,1,1,0,2,0,0,server/src/services/v8/financeIntegrationService.ts
virtual_worker_profiles,2,1,1,0,3,0,0,server/src/services/ai/virtualWorkerService.ts
virtual_workers,2,1,1,0,2,0,0,server/src/services/ai/virtualWorkerService.ts
watchlist_items,2,2,3,0,0,0,0,server/src/services/radar/radarActionService.ts
wave8_agent_tool_governance_events,2,6,8,0,1,0,0,server/src/scripts/a11OperatorConsoleRealDbProof.ts
z139_backup_919_tasks,2,0,0,0,0,0,0,
_migration_518_done,1,0,0,0,2,0,0,
ai_operator_interventions,1,1,1,0,1,0,0,server/src/services/aiOperatorService.ts
ai_ops_report_state,1,1,1,0,1,0,0,server/src/cron/AIOpsReportCron.ts
ai_org_memory,1,2,2,0,1,0,0,server/src/services/ai/aiMemoryService.ts
assessment_initiative_batch_dedup_reports,1,0,0,0,1,0,0,
audit_norm_sources,1,5,5,0,1,2,1,server/src/services/audits/packService.ts
audit_outputs,1,1,1,0,0,1,0,server/src/services/audits/outputService.ts
audit_packs,1,10,10,1,1,0,1,server/src/routes/testSupport.routes.ts
audit_reports,1,3,4,0,0,2,1,server/src/services/audits/aiProposalService.ts
backup_configurations,1,1,1,0,1,0,0,server/src/routes/superadmin.routes.ts
backup_source_change_clock,1,1,1,0,2,0,0,server/src/services/backupService.ts
billing_alerts,1,7,7,1,2,0,0,server/src/routes/adminP32.routes.ts
canvas_idea_materialization_receipts,1,1,2,0,0,0,0,server/src/services/canvasMaterialize.ts
case_core,1,18,25,5,10,5,2,server/src/scripts/economics-gate-probe.ts
case_plan_versions,1,4,10,3,4,0,0,server/src/services/caseWorkspace/proposalApprovalService.ts
chat_project_members,1,1,1,0,1,0,0,server/src/routes/chat-projects.routes.ts
compute_org_concurrency_limits,1,1,1,0,1,0,0,server/src/services/finance/canonical/computeJobService.ts
conversation_purge_audit,1,2,2,0,1,0,0,server/src/routes/conversations.routes.ts
cutover_runbooks,1,1,1,0,0,0,0,server/src/services/cutoverRunbookService.ts
cutover_steps,1,1,1,0,0,0,0,server/src/services/cutoverRunbookService.ts
decision_enhancements,1,1,1,0,1,0,0,server/src/services/decisionCollaborationService.ts
decision_impacts,1,6,8,0,2,0,0,server/src/controllers/DecisionController.ts
developer_settings,1,1,1,0,2,0,0,server/src/routes/settings.routes.ts
document_approvals,1,1,1,1,0,0,0,server/src/services/documentStudio/documentApprovalRegistryDao.ts
executive_aggregate_cache,1,1,1,0,1,0,0,server/src/services/executiveAggregateService.ts
executive_insights_cache,1,1,1,0,1,0,0,server/src/services/executiveInsightsService.ts
finance_analysis_definitions,1,1,1,2,1,0,0,server/src/services/finance/canonical/analysisDefinitionService.ts
finance_engine_manifests,1,1,1,4,2,0,0,server/src/services/finance/canonical/artifactVersionService.ts
finance_stmt_calendars,1,3,3,2,1,0,0,server/src/scripts/baselineContextOpeningPeriodRealDbProof.ts
finance_stmt_entities,1,13,13,3,1,0,0,server/src/scripts/baselineContextOpeningPeriodRealDbProof.ts
finance_valuation_registration_command_receipts,1,1,1,0,1,0,0,server/src/services/finance/canonical/valuationRegistrationService.ts
idea_business_cases,1,2,2,1,1,1,0,server/src/routes/ideaBusinessCase.routes.ts
idea_financial_cases,1,1,2,1,0,0,0,server/src/services/ideaFinancialCaseService.ts
interview_answer_history,1,2,2,0,1,1,0,server/src/controllers/InterviewController.ts
interview_insight_exports,1,2,2,0,1,0,0,server/src/controllers/InterviewController.ts
interview_transcript_messages,1,1,1,0,0,0,0,server/src/services/interviewTranscriptService.ts
invitations,1,6,21,4,0,13,2,server/src/database/PostgresDatabase.ts
kpi_financial_mappings,1,3,4,1,1,0,0,server/src/routes/resultsExtended.routes.ts
llm_routing_rules,1,1,3,0,1,0,0,server/src/services/ai/routingRulesService.ts
method_approvals,1,1,1,1,0,0,0,server/src/method-core/MethodSessionService.ts
method_outputs,1,2,8,2,1,4,2,server/src/method-core/outputs/MethodOutputService.ts
method_packs,1,2,3,0,0,0,2,server/src/method-core/demoBypass.ts
method_report_snapshots,1,1,2,0,1,0,0,server/src/method-core/outputs/MethodReportSnapshotService.ts
method_snapshots,1,1,2,1,0,1,1,server/src/method-core/MethodSessionService.ts
my_idea_activity,1,1,2,0,0,2,0,server/src/routes/my-work.routes.ts
my_work_signal_prefs,1,2,3,1,1,0,0,server/src/routes/my-work/signals.routes.ts
notebook_page_versions,1,2,2,0,1,0,0,server/src/routes/v8/notebookVersions.routes.ts
notification_delivery_log,1,2,2,0,1,0,0,server/src/scripts/t01InterviewRealDbProof.ts
org_policies,1,3,3,0,1,0,1,server/src/routes/superadmin.routes.ts
organization_brand_voice_profiles,1,1,2,0,0,0,0,server/src/services/brandVoiceProfileService.ts
organization_context_store,1,1,2,0,0,0,0,server/src/routes/organization-context-store.routes.ts
organization_seats,1,4,6,0,2,0,0,server/src/services/payAsYouGoService.ts
partner_connection_receipts,1,1,1,0,0,0,0,server/src/services/partnerConnectionService.ts
password_resets,1,2,2,0,0,0,0,server/src/controllers/SuperAdminController.ts
payment_methods,1,8,10,2,3,0,0,server/src/database/DatabaseInitializer.ts
plan_baselines,1,1,1,0,0,0,0,server/src/services/rolloutBaselineService.ts
public_partner_applications,1,2,2,0,1,0,0,server/src/services/partnerOperatorReviewService.ts
rollout_stages,1,1,1,0,0,0,0,server/src/services/rolloutStagesService.ts
rvn_platform_consumer_processed,1,2,2,0,0,0,0,server/src/services/resultsVnext/platform/financeProjectionConsumer.ts
rvn_platform_events,1,10,26,0,0,3,1,server/src/services/operationalAlertRepairService.ts
rvn_platform_outbox,1,9,10,0,2,0,0,server/src/services/operationalAlertRepairService.ts
rvn_platform_projection_checkpoints,1,1,1,0,0,0,0,server/src/services/resultsVnext/platform/myworkProjectionConsumer.ts
rvn_roi_visibility_governance,1,1,1,2,0,0,1,server/src/services/resultsVnext/platform/visibilityResolver.ts
scim_tokens,1,2,2,0,3,0,0,server/src/routes/adminP32.routes.ts
support_ticket_comments,1,1,1,0,1,0,0,server/src/services/supportTicketService.ts
support_tickets,1,2,2,0,3,0,0,server/src/services/supportTicketService.ts
tool_initiative_links_backfill_reports,1,0,0,0,1,0,0,
transformation_planning_intakes,1,3,3,0,1,0,0,server/src/scripts/a03TemplateIntakeRealDbProof.ts
usage_records,1,4,7,0,3,0,0,server/src/routes/billing.routes.ts
user_ai_settings,1,1,3,1,2,2,0,server/src/services/aiSettingsService.ts
user_profile_extended,1,7,7,0,3,0,0,server/src/controllers/InterviewController.ts
user_webhooks,1,1,1,0,1,0,0,server/src/routes/settings.routes.ts
v8_cloud_linked_source_refreshes,1,1,1,0,0,0,0,server/src/services/v8/financeIntegrationService.ts
v8_deviation_records,1,1,1,1,1,0,0,server/src/services/v8/resultsROIService.ts
v8_executive_review_packs,1,1,1,0,0,0,0,server/src/services/v8/resultsROIService.ts
v8_initiative_economics_linkages,1,2,2,0,0,1,0,server/src/routes/initiatives-additive.routes.ts
v8_promotion_gates,1,1,1,0,0,0,0,server/src/services/v8/financeIntegrationService.ts
v8_radar_triage_signals,1,1,1,0,0,0,0,server/src/services/v8/radarTriageService.ts
v8_unreconciled_delta_escalations,1,1,1,0,1,0,0,server/src/services/v8/financeIntegrationService.ts
vault_folders,1,1,1,0,0,0,0,server/src/services/KnowledgeService.ts
wave7_connector_runs,1,1,1,0,0,0,0,server/src/services/wave7ConnectorRuntimeService.ts
wave8_agent_definitions,1,7,7,0,1,0,0,server/src/scripts/t01InterviewRealDbProof.ts
wave9_acceptance_runs,1,1,1,0,0,0,0,server/src/services/wave9OutcomeRuntimeService.ts
wave9_eval_runs,1,1,1,0,0,0,0,server/src/services/wave9OutcomeRuntimeService.ts
wave9_incidents,1,1,1,0,0,0,0,server/src/services/wave9OutcomeRuntimeService.ts
wave9_outcomes,1,1,1,0,0,0,0,server/src/services/wave9OutcomeRuntimeService.ts
wave9_provider_health,1,1,1,0,0,0,0,server/src/services/wave9OutcomeRuntimeService.ts
z139_backup_919_decisions,1,0,0,0,0,0,0,
z139_backup_t5_notebook_pages_title,1,0,0,0,0,0,0,
