tabela	typ	legacy	kanoniczna	wszystkie	blad
management_report_templates	text	0	0	0	
management_reports	text	0	0	0	
manager_action_audit_log	text	0	0	0	
marketplace_imports	text	0	0	0	
mcp_audit_logs	text	0	0	0	
mcp_provider_allowlist	text	0	0	0	
mcp_provider_tools_cache	text	0	0	0	
mcp_providers	text	0	0	0	
meeting_attachments	text	0	0	0	
meeting_decisions	text	0	0	3	
meeting_follow_ups	text	0	0	0	
meeting_invitation_deliveries	text	0	0	0	
meeting_note_materializations	text	0	0	0	
meeting_notes	text	0	0	0	
method_approvals	text	0	1	1	
method_events	text	0	11	11	
method_evidence	text	0	0	0	
method_findings	text	0	0	0	
method_initiative_drafts	text	0	0	0	
method_outputs	text	0	1	1	
method_packs	text	0	1	1	
method_report_snapshots	text	0	1	1	
method_session_create_idempotency	text	0	5	5	
method_session_report_metadata	text	0	0	0	
method_session_role_events	text	0	6	6	
method_session_roles	text	0	6	6	
method_sessions	text	0	5	5	
method_snapshots	text	0	1	1	
method_teresa_previews	text	0	4	4	
metrics_events	text	0	0	0	
mfa_login_challenges	text	0	0	0	
mobile_devices	text	0	0	0	
module_access_grants	text	0	3	3	
multi_framework_assessments	text	0	0	0	
multi_framework_initiatives	uuid	0	0	0	
multi_framework_reports	uuid	0	0	0	
my_idea_activity	text	0	0	1	
my_idea_conversions	text	0	5	5	
my_idea_edges	text	0	0	0	
my_idea_folders	text	0	2	3	
my_idea_map_snapshots	text	0	10	200	
my_work_decision_prefs	text	0	0	0	
my_work_decision_snoozes	text	0	0	0	
my_work_focus_rules	text	0	0	0	
my_work_signal_prefs	text	0	1	1	
myw_agent_canonical_outbox	text	0	0	0	
myw_agent_materialization_approvals	text	0	0	0	
myw_agent_materialization_proposals	text	0	0	0	
myw_agent_materialization_receipts	text	0	0	0	
notebook_ai_proposals	text	0	19	19	
notebook_embeddings	text	0	84	85	
notebook_page_versions	text	0	1	1	
notebook_pages	text	0	48	57	
notebook_topics	text	0	3	3	
notebooks	text	0	3	6	
notification_outbox	text	0	0	0	
notification_rules	text	0	0	0	
object_attachments	text	0	0	0	
observability_dr_drills	text	0	0	0	
observability_metrics	text	0	0	0	
observability_slos	text	0	0	0	
observability_traces	text	0	0	0	
okr_check_ins	text	0	0	0	
okr_cycles	text	0	0	0	
okr_key_results	text	0	4	12	
okr_objectives	text	0	3	6	
okr_vnext_alignments	text	0	0	0	
okr_vnext_approved_snapshots	text	0	0	0	
okr_vnext_decision_links	text	0	0	0	
okr_vnext_reflections	text	0	0	0	
okr_vnext_reviews	text	0	0	0	
okr_vnext_set_versions	text	0	0	0	
okr_vnext_support_requests	text	0	0	0	
operational_alert_delivery_outbox	text	0	0	0	
operational_alert_delivery_receipts	text	0	0	0	
operational_alert_repair_attempts	text	0	0	0	
operational_alert_repair_intents	text	0	0	0	
operational_alert_repair_receipts	text	0	0	0	
operational_alert_signals	text	0	0	0	
operational_alert_tenant_states	text	0	0	0	
org_policies	text	0	1	1	
org_user_permissions	text	0	0	0	
organization_ai_config	text	0	0	0	
organization_ai_policy	text	0	0	0	
organization_ai_settings	text	0	0	0	
organization_billing	text	0	0	0	
organization_brand_voice_profiles	text	0	1	1	
organization_branding	text	0	0	0	
organization_context	text	0	0	0	
organization_context_claim_reviews	text	0	0	0	
organization_context_consumer_bindings	text	0	0	0	
organization_context_lineage_events	text	0	0	0	
organization_context_processing_attention_receipts	text	0	0	0	
organization_context_processing_jobs	text	0	1	2	
organization_context_snapshot_versions	text	0	0	0	
organization_context_storage_events	text	0	1	2	
organization_context_store	text	0	1	1	
organization_context_upload_receipts	text	0	0	0	
organization_context_versions	text	0	0	0	
organization_data_retention	text	0	0	0	
organization_discounts	text	0	0	0	
organization_events	text	0	0	0	
organization_facilities	text	0	0	0	
organization_limits	text	0	0	36	
organization_llm_settings	text	0	0	0	
organization_memory	text	0	0	0	
organization_metadata	text	0	0	0	
organization_profiles	text	0	0	0	
organization_provider_settings	text	0	0	0	
organization_seats	text	0	1	1	
organization_settings	text	0	0	0	
organization_snapshot_candidate_handoffs	text	0	0	0	
organization_style_profiles	text	0	1	2	
ownership_transfers	text	0	0	0	
partner	text	0	0	0	
partner_attributions	uuid	0	0	48	
partner_client_organizations	uuid	0	0	0	
partner_commission_transactions	uuid	0	0	80	
partner_connection_receipts	text	0	1	1	
partner_economics_policy_events	text	0	0	0	
payment_attempts	text	0	0	0	
payment_failures	text	0	0	0	
payment_methods	text	0	1	1	
pdf_imports	text	0	0	0	
permission_requests	text	0	0	0	
pinned_insights	text	0	0	0	
pinned_prompts	text	0	0	0	
plan_baselines	text	0	1	1	
pmo_roles	text	0	0	0	
post_implementation_reviews	text	0	0	0	
presentation_ai_operations	text	0	0	0	
presentation_benchmark_runs	text	0	0	0	
presentation_deck_collaborators	text	0	0	0	
presentation_governance_alert_dispatches	text	0	0	0	
presentation_governance_alert_subscriptions	text	0	0	0	
presentation_governance_alert_worker_state	text	0	0	0	
presentation_governance_subscriber_tokens	text	0	0	0	
presentation_migration_reports	text	0	0	0	
presentation_watchlist_presets	text	0	0	0	
presentation_watchlist_saved_searches	text	0	0	0	
preserved_conversations	text	0	0	0	
process_definitions	text	0	0	0	
programs	text	0	0	0	
project_role_overrides	text	0	0	0	
project_team_members	text	0	0	0	
prompt_library	text	0	0	0	
proration_records	text	0	0	0	
public_booking_requests	text	0	0	0	
public_mini_assessments	text	0	0	0	
radar_actions	text	0	142	218	
radar_ranked_signals	text	0	86	183	
rag_metrics	text	0	0	0	
rag_retrieval_feedback	text	0	0	0	
raid_appetite_thresholds	text	0	0	0	
rapid_lean_assessments	text	0	0	0	
realtime_channels	text	0	0	0	
report_agent_messages	text	0	8	8	
report_ai_proposals	text	0	0	0	
report_brand_voice_policies	text	0	0	0	
report_builder_block_types	text	0	0	30	
report_builder_reports	text	0	6	12	
report_builder_sessions	text	0	0	0	
report_builder_templates	text	0	0	33	
report_data_bindings	text	0	0	0	
report_definitions	uuid	0	0	17	
report_distribution_log	text	0	0	0	
report_distribution_schedules	text	0	0	0	
report_initiatives	text	0	0	0	
report_public_links	text	0	0	0	
report_quality_gates	text	0	6	6	
report_schedules	text	0	0	0	
report_source_packs	text	0	0	0	
report_templates	text	0	0	0	
reports	text	0	0	5	
research_evidence	text	0	0	0	
research_evidence_graph	text	0	12	14	
research_report_artifacts	text	0	12	14	
research_session_events	text	0	89	101	
research_sessions	text	0	22	25	
results_kpi_report_snapshots	text	0	0	0	
results_writer_observations	text	0	0	0	
retention_policies	text	0	0	0	
revenue_recognition	text	0	0	0	
risk_register	text	0	0	0	
risk_signal_alerts	text	0	0	0	
roadmap_waves	text	0	0	0	
roi_assumptions	text	0	8	19	
roi_evidence	text	0	0	0	
roi_realized_values	text	0	3	7	
role_change_audit_events	text	0	0	0	
rollout_changes	text	0	0	2	
rollout_closures	text	0	0	2	
rollout_kpis	text	0	27	33	
rollout_risks	text	0	0	2	
rollout_stages	text	0	1	1	
rvn_execution_signal_receipts	text	0	0	0	
rvn_finance_reconciliation_decisions	text	0	0	0	
rvn_finance_reconciliation_grant_events	text	0	0	0	
rvn_kpi_corrective_actions	text	0	0	0	
rvn_kpi_effectiveness_verifications	text	0	0	0	
rvn_kpi_initiative_impacts	text	0	0	0	
rvn_kpi_recovery_actions	text	0	0	0	
rvn_kpi_recovery_backfill_receipts	text	0	0	0	
rvn_kpi_recovery_checkpoints	text	0	0	0	
rvn_kpi_response_policies	text	0	0	0	
rvn_kpi_scorecard_items	text	0	181	181	
rvn_kpi_scorecard_review_snapshots	text	0	0	0	
rvn_platform_events	text	0	1	1	
rvn_platform_management_chain_closure	text	0	0	0	
rvn_platform_obligations	text	0	0	0	
rvn_platform_projection_checkpoints	text	0	1	1	
rvn_roi_actual_entries	text	0	0	0	
rvn_roi_actual_snapshots	text	0	0	0	
rvn_roi_approval_snapshots	text	0	0	0	
rvn_roi_assumption_outcomes	text	0	0	0	
rvn_roi_assumptions	text	0	13	13	
rvn_roi_benefit_evidence_links	text	0	0	0	
rvn_roi_benefit_lines	text	0	7	7	
rvn_roi_calculation_policy	text	0	3	3	
rvn_roi_calculation_runs	text	0	3	3	
rvn_roi_cost_lines	text	0	6	6	
rvn_roi_finance_links	text	0	0	0	
rvn_roi_finance_projections	text	0	0	0	
rvn_roi_finance_reconciliations	text	0	0	0	
rvn_roi_forecast_versions	text	0	0	0	
rvn_roi_risks	text	0	0	0	
rvn_roi_scenario_overrides	text	0	0	0	
rvn_roi_scenarios	text	0	7	7	
rvn_roi_variance_causes	text	0	0	0	
rvn_roi_variances	text	0	0	0	
rvn_roi_visibility_governance	text	0	1	1	
sandbox_projects	text	0	0	0	
scheduled_events	text	0	0	0	
scim_conflict_log	text	0	0	0	
scim_group_mappings	text	0	0	0	
scim_sync_logs	text	0	0	0	
scim_tokens	text	0	1	1	
seat_transactions	text	0	0	0	
security_events	text	0	0	0	
security_incidents	text	0	0	0	
security_policies	text	0	0	4	
security_roles	text	0	0	0	
security_settings	text	0	0	0	
sellix_delivery_log	text	0	0	0	
sellix_events	text	0	0	0	
siri_dimension_scores	uuid	0	0	0	
siri_prioritisation_snapshots	uuid	0	0	0	
skills_gap_snapshots	text	0	0	0	
sla_tracking	text	0	0	0	
spending_alerts	text	0	0	0	
sso_auth_states	text	0	0	0	
sso_configs	text	0	0	0	
sso_configurations	text	0	0	0	
sso_login_attempts	text	0	0	0	
sso_sessions	text	0	0	0	
staffing_plans	text	0	0	0	
stakeholder_engagements	text	0	0	0	
stakeholder_registry	text	0	0	0	
stakeholder_segments	text	0	0	0	
status_reports	text	0	0	14	
steerco_packs	text	0	0	0	
stripe_events	text	0	0	0	
studio_documents	text	0	0	0	
studio_templates	text	0	0	0	
subscription_changes	text	0	0	0	
subscription_events	text	0	0	0	
subscription_history	text	0	0	0	
subscription_state_history	text	0	0	0	
subscriptions	text	0	0	0	
support_tickets	text	0	0	1	
swot_candidate_handoffs	text	0	0	0	
swot_proposals	text	0	0	0	
sync_error_log	text	0	0	0	
sync_rate_limits	text	0	0	0	
task_allocations	text	0	0	0	
task_automation_rules	text	0	0	0	
task_baseline_snapshots	text	0	0	0	
task_custom_field_schemas	text	0	0	0	
task_status_transitions	text	0	0	0	
teams	text	0	0	10	
template_provenance_approval_receipts	text	0	0	0	
teresa_handoff_results	text	0	16	23	
teresa_proposals	text	0	109	129	
test_support_runs	text	0	0	260	
threat_intelligence	text	0	0	0	
tier_round_robin_state	text	0	0	0	
time_entries	text	0	0	0	
token_ledger	text	0	0	0	
token_transactions	text	0	0	0	
tool_comments	text	0	0	0	
tool_entitlements	text	0	0	0	
tool_facilitation_sessions	text	0	2	18	
tool_initiative_links	text	0	0	0	
tool_knowledge_bank	text	0	0	0	
tool_output_approvals	text	0	0	0	
tool_output_initiative_proposals	text	0	0	0	
tool_outputs	text	0	0	0	
tool_rag_queries	text	0	0	0	
tool_report_sources	text	0	0	0	
tool_reports	text	0	0	0	
tool_session_edit_locks	text	0	0	0	
tool_session_events	text	0	0	0	
tool_session_presence	text	0	1873	3616	
tool_sessions	text	0	115	132	
tool_template_library	text	0	0	0	
tool_usage_log	text	0	0	0	
tool_works	text	0	0	0	
tp_automation_run_counts	text	0	0	0	
tp_connectors	text	0	0	0	
tp_qa_reports	text	0	0	0	
tp_qa_suggestion_dismissals	text	0	0	0	
tp_record_sources	text	0	0	0	
tp_scim_tokens	uuid	0	0	0	
tp_service_accounts	uuid	0	0	0	
tp_source_packs	text	0	0	0	
tp_sso_configs	uuid	0	0	0	
tp_table_conversions	text	0	0	0	
transaction_readiness_events	text	0	0	0	
transaction_readiness_scores	text	0	0	0	
transformation_case_artifact_links	text	0	0	0	
transformation_final_output_governance	text	0	0	0	
transformation_final_output_runs	text	0	0	0	
transformation_mobilization_owner_receipts	text	0	0	0	
transformation_monitoring_definitions	text	0	0	0	
transformation_monitoring_snapshots	text	0	0	0	
transformation_portfolio_decision_packs	text	0	0	0	
transformation_portfolio_decision_receipts	text	0	0	0	
transformation_project_team_audit_events	text	0	0	0	
transformation_project_team_blueprints	text	0	0	0	
transformation_project_team_receipts	text	0	0	0	
transformation_result_gate_governance	text	0	0	0	
transformation_template_conversion_receipts	text	0	0	0	
trusted_devices	text	0	0	0	
usage_alerts_sent	text	0	0	0	
usage_counters	text	0	1	1	
usage_records	text	0	1	1	
usage_summaries	text	0	0	0	
user_activity	text	0	0	0	
user_activity_summary	text	0	0	0	
user_adoption_metrics	text	0	0	0	
user_api_keys	text	0	0	0	
user_budgets	text	0	0	0	
user_capabilities	text	0	0	0	
user_consents	character varying	0	0	0	
user_data_export_receipts	text	0	0	0	
user_groups	text	0	0	0	
user_onboarding	text	0	0	0	
user_onboarding_progress	text	0	0	0	
user_radar_profiles	text	0	1	3	
user_sessions	text	0	0	0	
user_skills	text	0	0	0	
v10_learning_feedback	text	0	0	0	
v10_learning_incidents	text	0	0	0	
v10_learning_retention_previews	text	0	0	0	
v10_learning_stewardship_queue	text	0	0	0	
v8_activity_feed	text	0	0	0	
v8_admin_rebind_records	text	0	0	0	
v8_admin_surface_ownership	text	0	0	0	
v8_agent_adapter_invocations	text	0	0	0	
v8_agent_branch_tasks	text	0	0	0	
v8_agent_canonical_projection_outbox	text	0	0	0	
v8_agent_context_revalidations	text	0	0	0	
v8_agent_contradiction_resolutions	text	0	0	0	
v8_agent_operator_recovery_events	text	0	0	0	
v8_agent_quality_eval_cases	text	0	0	0	
v8_agent_quality_eval_runs	text	0	0	0	
v8_agent_resource_policies	text	0	0	0	
v8_agent_resource_reservations	text	0	0	0	
v8_agent_run_aliases	text	0	0	0	
v8_agent_run_reconciliation_events	text	0	0	0	
v8_agent_template_governance_events	text	0	0	0	
v8_agent_tenant_settings	text	0	0	0	
v8_agent_work_graphs	text	0	0	0	
v8_agent_working_memory_bindings	text	0	0	0	
v8_ai_proposal_visibility	text	0	0	0	
v8_ai_suggestions	text	0	0	0	
v8_anna_lp_configs	text	0	0	0	
v8_artifact_access_grants	text	0	0	0	
v8_artifact_run_audit_log	text	0	521	521	
v8_artifact_runs	text	0	129	129	
v8_audit_entries	text	0	0	0	
v8_auth_escalations	text	0	0	0	
v8_business_object_sync_states	text	0	0	0	
v8_calendar_items	text	0	0	0	
v8_calendar_items_extended_itemtype	text	0	0	0	
v8_calendar_phases	text	0	0	0	
v8_calendar_sources	text	0	0	0	
v8_canonical_object_states	text	0	0	0	
v8_chat_action_proposals	text	0	0	0	
v8_chat_execution_handoffs	text	0	0	0	
v8_cloud_linked_source_refreshes	text	0	1	1	
v8_collaboration_rooms	text	0	0	0	
v8_collaborative_decisions	text	0	0	0	
v8_compliance_checks	text	0	0	0	
v8_concurrency_strategies	text	0	0	0	
v8_conflict_records	text	0	0	0	
v8_conflict_resolutions	text	0	0	0	
v8_connection_credentials	text	0	0	0	
v8_connector_auth_states	text	0	0	0	
v8_connector_fleet_health	text	0	0	0	
v8_content_governance	text	0	0	0	
v8_coordinated_publishes	text	0	0	0	
v8_cross_initiative_dependencies	text	0	0	0	
v8_cross_module_activity	text	0	0	0	
v8_dead_letter_records	text	0	0	0	
v8_decision_chains	text	0	0	0	
v8_degraded_conditions	text	0	0	0	
v8_demo_trial_configs	text	0	0	0	
v8_deviation_records	text	0	1	1	
v8_emergency_pauses	text	0	0	0	
v8_execution_signals	text	0	0	0	
v8_executive_review_packs	text	0	1	1	
v8_facilitation_sessions	text	0	0	0	
v8_feature_flags	text	0	0	0	
v8_finance_document_ingestions	text	0	2	2	
v8_finance_document_ingestions__w18	text	0	0	0	
v8_finance_lane_runs	text	0	0	0	
v8_finance_locked_states	text	0	0	0	
v8_finance_mutation_audit	text	0	0	0	
v8_finance_version_snapshots	text	0	0	0	
v8_governance_sensitive_fields	text	0	0	0	
v8_health_signals	text	0	0	0	
v8_home_block_maturity	text	0	0	0	
v8_inbox_materializations	text	0	0	0	
v8_initiative_decompositions	text	0	0	0	
v8_initiative_economics_linkages	text	0	1	1	
v8_initiative_entrypoints	text	0	0	0	
v8_initiative_materializations	text	0	0	0	
v8_kpi_definitions	text	0	27	44	
v8_kpi_finance_reconciliations	text	0	10	29	
v8_kpi_next_actions	text	0	0	0	
v8_kpi_signals	text	0	0	0	
v8_landing_page_sections	text	0	0	0	
v8_lane_decisions	text	0	0	0	
v8_lane_execution_plans	text	0	0	0	
v8_lock_records	text	0	0	0	
v8_memory_promotion_requests	text	0	0	0	
v8_mindmap_ai_proposals	text	0	0	0	
v8_mindmap_nodes	text	0	0	0	
v8_notification_records	text	0	0	0	
v8_notification_triggers	text	0	0	0	
v8_output_ai_governance	text	0	0	0	
v8_output_recalls	text	0	0	0	
v8_platform_seam_registry	text	0	0	0	
v8_promotion_gates	text	0	1	1	
v8_prompt_presets	text	0	0	0	
v8_provenance_ledger	text	0	0	0	
v8_provider_catalog_states	text	0	0	0	
v8_provider_depth_profiles	text	0	0	0	
v8_provider_health	text	0	0	0	
v8_publish_records	text	0	0	0	
v8_radar_triage_signals	text	0	1	1	
v8_rebaseline_proposals	text	0	0	0	
v8_recurring_output_programs	text	0	0	0	
v8_refresh_timing_policies	text	0	0	0	
v8_release_bundles	text	0	0	0	
v8_replay_requests	text	0	0	0	
v8_resource_type_mappings	text	0	0	0	
v8_restore_requests	text	0	0	0	
v8_results_handoff_events	text	0	0	0	
v8_retrieval_requests	text	0	0	0	
v8_retrieval_traces	text	0	0	0	
v8_retry_policies	text	0	0	0	
v8_review_gates	text	0	0	0	
v8_roi_realization_entries	text	0	8	25	
v8_schema_drift_events	text	0	0	0	
v8_session_insights	text	0	0	0	
v8_session_module_links	text	0	0	0	
v8_shadow_comparisons	text	0	0	0	
v8_shared_tools_registry	text	0	0	0	
v8_signal_aggregations	text	0	0	0	
v8_source_materialization_records	text	0	0	0	
v8_superadmin_domains	text	0	0	0	
v8_superadmin_surfaces	text	0	0	0	
v8_support_notes	text	0	0	0	
v8_support_traces	text	0	0	0	
v8_surface_presence	text	0	0	0	
v8_synced_source_refs	text	0	0	0	
v8_template_families	text	0	0	0	
v8_tenant_connector_installations	text	0	0	0	
v8_tool_action_governance	text	0	0	0	
v8_tool_collaboration_adapters	text	0	0	0	
v8_tool_event_registry	text	0	0	0	
v8_tool_invocation_log	text	0	0	0	
v8_tool_readiness_audits	text	0	0	0	
v8_tool_session_governance	text	0	0	0	
v8_tools_v8_bridging_contracts	text	0	0	0	
v8_unreconciled_delta_escalations	text	0	1	1	
v8_version_snapshots	text	0	0	0	
v8_webhook_deliveries	text	0	0	0	
v8_webhook_registrations	text	0	0	0	
v8_working_memory_entries	text	0	0	0	
v8_workspace_permissions	text	0	0	0	
v8_workspace_sessions	text	0	0	0	
valuations	text	0	16	17	
value_baselines	text	0	0	0	
value_capture_gates	text	0	0	0	
value_ledger_entries	text	0	0	0	
vault_folders	text	0	1	1	
watchlist_items	text	0	1	2	
wave5_mutation_proposals	text	0	3	3	
wave6_memory_candidates	text	0	11	14	
wave6_memory_stewardship_decisions	text	0	5	6	
wave7_connector_runs	text	0	1	1	
wave7_connectors	text	0	13	13	
wave8_agent_definitions	text	0	0	1	
wave8_agent_notifications	text	0	6	6	
wave8_agent_runs	text	0	6	6	
wave8_agent_schedules	text	0	0	0	
wave9_acceptance_decisions	text	0	0	0	
wave9_acceptance_runs	text	0	1	1	
wave9_eval_runs	text	0	1	1	
wave9_evidence_registry	text	0	4	4	
wave9_incidents	text	0	1	1	
wave9_outcomes	text	0	1	1	
wave9_provider_health	text	0	1	1	
webhook_subscriptions	text	0	0	0	
webhooks	text	0	0	0	
white_label_assets	text	0	0	0	
white_label_config	text	0	0	0	
white_label_themes	text	0	0	0	
work_canvas_ideas	text	0	0	0	
work_signal_runs	text	0	0	0	
work_signals	text	0	0	0	
z139_backup_919_decisions	text	0	1	1	
z139_backup_919_initiative_kpis	text	0	0	0	
z139_backup_919_initiatives	text	0	0	0	
z139_backup_919_interview_insights	text	0	0	0	
z139_backup_919_notebook_pages	text	0	0	0	
z139_backup_919_notebooks	text	0	0	0	
z139_backup_919_raid_items	text	0	0	0	
z139_backup_919_tasks	text	0	2	2	
z139_backup_919_work_canvas_drafts	text	0	0	0	
# TABEL_ZE_SKANU=1274
# TABEL_Z_LEGACY=99
# WIERSZY_LEGACY=11686
